case_id,fraud_type,case_title,modus_operandi,fraud_pattern,investigation_summary,entities_involved,risk_indicators,resolution,regulatory_reference,created_at
CASE00000,AML,Fraud Case 0,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-0,2026-06-08 20:07:51.071977
CASE00001,ATO,Fraud Case 1,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-1,2026-06-08 20:07:51.071977
CASE00002,Mule,Fraud Case 2,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-2,2026-06-08 20:07:51.071977
CASE00003,Card,Fraud Case 3,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-3,2026-06-08 20:07:51.071977
CASE00004,Card,Fraud Case 4,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-4,2026-06-08 20:07:51.071977
CASE00005,AML,Fraud Case 5,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-5,2026-06-08 20:07:51.071977
CASE00006,ATO,Fraud Case 6,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-6,2026-06-08 20:07:51.071977
CASE00007,AML,Fraud Case 7,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-7,2026-06-08 20:07:51.071977
CASE00008,Card,Fraud Case 8,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-8,2026-06-08 20:07:51.071977
CASE00009,Card,Fraud Case 9,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-9,2026-06-08 20:07:51.071977
CASE00010,ATO,Fraud Case 10,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-10,2026-06-08 20:07:51.071977
CASE00011,Card,Fraud Case 11,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-11,2026-06-08 20:07:51.071977
CASE00012,AML,Fraud Case 12,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-12,2026-06-08 20:07:51.071977
CASE00013,AML,Fraud Case 13,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-13,2026-06-08 20:07:51.071977
CASE00014,Mule,Fraud Case 14,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-14,2026-06-08 20:07:51.071977
CASE00015,Mule,Fraud Case 15,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-15,2026-06-08 20:07:51.071977
CASE00016,Card,Fraud Case 16,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-16,2026-06-08 20:07:51.071977
CASE00017,AML,Fraud Case 17,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-17,2026-06-08 20:07:51.071977
CASE00018,Mule,Fraud Case 18,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-18,2026-06-08 20:07:51.071977
CASE00019,Mule,Fraud Case 19,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-19,2026-06-08 20:07:51.071977
CASE00020,AML,Fraud Case 20,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-20,2026-06-08 20:07:51.071977
CASE00021,Mule,Fraud Case 21,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-21,2026-06-08 20:07:51.071977
CASE00022,Mule,Fraud Case 22,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-22,2026-06-08 20:07:51.071977
CASE00023,Mule,Fraud Case 23,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-23,2026-06-08 20:07:51.071977
CASE00024,AML,Fraud Case 24,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-24,2026-06-08 20:07:51.071977
CASE00025,Card,Fraud Case 25,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-25,2026-06-08 20:07:51.071977
CASE00026,Card,Fraud Case 26,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-26,2026-06-08 20:07:51.071977
CASE00027,ATO,Fraud Case 27,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-27,2026-06-08 20:07:51.071977
CASE00028,Card,Fraud Case 28,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-28,2026-06-08 20:07:51.071977
CASE00029,Card,Fraud Case 29,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-29,2026-06-08 20:07:51.071977
CASE00030,AML,Fraud Case 30,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-30,2026-06-08 20:07:51.071977
CASE00031,Mule,Fraud Case 31,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-31,2026-06-08 20:07:51.071977
CASE00032,Card,Fraud Case 32,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-32,2026-06-08 20:07:51.071977
CASE00033,Mule,Fraud Case 33,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-33,2026-06-08 20:07:51.071977
CASE00034,Card,Fraud Case 34,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-34,2026-06-08 20:07:51.071977
CASE00035,Card,Fraud Case 35,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-35,2026-06-08 20:07:51.071977
