behavior_id,customer_id,device_id,behavior_risk_score,current_city
BH000001,C01526,D01069,66.78,Nashik
BH000002,C00785,D00732,18.76,Bidhannagar
BH000003,C00790,D00394,37.34,Dewas
BH000004,C01285,D00095,38.86,Chandrapur
BH000005,C01142,D00644,24.39,Dhule
BH000006,C00515,D00984,13.87,Loni
BH000007,C01269,D00316,95.4,Tirupati
BH000008,C00846,D00595,22.55,Bhiwani
BH000009,C00127,D01434,56.32,Tenali
BH000010,C01340,D01405,53.58,Tenali
BH000011,C01844,D01286,36.98,Avadi
BH000012,C01309,D00359,63.2,Panvel
BH000013,C00632,D00797,99.21,Narasaraopet
BH000014,C00834,D01477,93.81,Etawah
BH000015,C00132,D00781,70.09,Bardhaman
BH000016,C00789,D00081,90.99,Agra
BH000017,C00694,D01210,28.79,Haldia
BH000018,C01025,D00384,1.9,Vadodara
BH000019,C01940,D00848,74.93,Malda
BH000020,C00586,D01124,10.61,Dhanbad
BH000021,C00656,D00036,25.22,Giridih
BH000022,C00353,D00444,92.22,Rewa
BH000023,C00305,D01462,49.53,Tiruppur
BH000024,C01679,D01048,99.61,Ulhasnagar
BH000025,C01482,D00756,15.14,Singrauli
BH000026,C01177,D00135,90.86,Bihar Sharif
BH000027,C01907,D00983,97.68,Khammam
BH000028,C00526,D00741,91.58,Thrissur
BH000029,C00450,D01104,37.74,Raipur
BH000030,C00970,D01416,0.21,Ahmednagar
BH000031,C00058,D01061,23.18,Bangalore
BH000032,C01706,D00933,50.49,Katihar
BH000033,C01700,D00510,32.05,Mirzapur
BH000034,C00524,D01160,42.03,Siliguri
BH000035,C00266,D00921,41.52,Malda
BH000036,C00056,D00294,76.67,Durgapur
BH000037,C01944,D01119,54.66,Malegaon
BH000038,C01994,D00329,40.85,Bellary
BH000039,C00579,D00876,24.82,Darbhanga
BH000040,C01583,D00920,63.04,Malda
BH000041,C00176,D01481,39.19,Nanded
BH000042,C01140,D00360,34.79,Silchar
BH000043,C01897,D00314,98.97,Gulbarga
BH000044,C00354,D00684,44.07,Panvel
BH000045,C00805,D00669,70.24,Aizawl
BH000046,C01668,D00484,84.23,Suryapet
BH000047,C00246,D01401,94.12,Ujjain
BH000048,C01504,D00383,75.4,Ongole
BH000049,C00367,D00327,61.7,Munger
BH000050,C00825,D00663,20.73,Katni
BH000051,C00961,D01256,15.25,Vellore
BH000052,C00219,D00953,8.67,Jalgaon
BH000053,C01404,D00584,17.88,Guntakal
BH000054,C01299,D01346,52.79,Kamarhati
BH000055,C00225,D00306,27.82,Panvel
BH000056,C00492,D00971,29.52,Bhiwani
