case_id,fraud_type,case_title
FC0001,Mule Account,Eos aperiam unde corrupti.
FC0002,Shared Device Fraud,Nesciunt molestias veniam cupiditate.
FC0003,Velocity Fraud,Esse dolores possimus commodi.
FC0004,Synthetic Identity,Aliquid eos delectus facere deserunt.
FC0005,Synthetic Identity,Occaecati esse repellat quam.
FC0006,Shared Device Fraud,Optio et unde officiis voluptas voluptates.
FC0007,Shared Device Fraud,Commodi quae voluptas aperiam dignissimos.
FC0008,Shared Device Fraud,Vitae recusandae ipsum et modi.
FC0009,Synthetic Identity,Quod repellendus provident ad.
FC0010,Shared Device Fraud,Labore sapiente dolore.
FC0011,Account Takeover,Corporis natus blanditiis consequatur corporis.
FC0012,Money Laundering,Nemo qui sint veniam possimus ut dignissimos.
FC0013,Account Takeover,Asperiores dolorem dolores autem odio expedita eligendi.
FC0014,Mule Account,Reiciendis sit nemo veniam impedit nobis asperiores.
FC0015,Money Laundering,Eligendi nemo adipisci dolores molestiae quo aut esse.
FC0016,Money Laundering,Nemo nisi quaerat voluptate exercitationem error mollitia.
FC0017,Account Takeover,Aspernatur tenetur neque dolor aliquid.
FC0018,Synthetic Identity,Ipsam aliquid dolorem id aut suscipit quis.
FC0019,Shared Device Fraud,Placeat doloribus vel.
FC0020,Money Laundering,Quae repellendus rem repellendus iure aliquam minima in.
FC0021,Shared Device Fraud,A cupiditate ea.
FC0022,Mule Account,Dicta officia sunt eos delectus nobis.
FC0023,Account Takeover,Ratione distinctio dignissimos laborum cum illo nostrum.
FC0024,Money Laundering,Repellendus aliquam ab nulla cum iure illum.
FC0025,Shared Device Fraud,Minima illum dolor.
FC0026,Account Takeover,Nesciunt quasi aliquid.
FC0027,Account Takeover,Magni accusantium accusantium veritatis rem quibusdam ducimus.
FC0028,Money Laundering,Repudiandae animi reprehenderit.
FC0029,Synthetic Identity,Cupiditate impedit eaque sunt voluptatum.
FC0030,Synthetic Identity,Commodi perferendis corrupti iusto laudantium temporibus.
FC0031,Mule Account,Harum totam quia maxime.
FC0032,Money Laundering,Ut illum accusamus dolorum hic nisi aliquid.
FC0033,Shared Device Fraud,Illum itaque dolores non fuga corporis repudiandae maxime.
FC0034,Mule Account,Eveniet nihil quisquam doloremque voluptas.
FC0035,Velocity Fraud,Blanditiis excepturi sed laboriosam totam optio nesciunt.
FC0036,Money Laundering,Molestias est ea hic ab ipsa.
FC0037,Mule Account,Quibusdam illum fugiat minus non et quas.
FC0038,Velocity Fraud,Libero soluta assumenda veniam.
FC0039,Mule Account,Ad sint tempore quidem eveniet quidem fugit.
FC0040,Velocity Fraud,Sed animi atque deleniti rem soluta.
FC0041,Mule Account,Repellat rem unde exercitationem.
FC0042,Synthetic Identity,Sunt nobis ad commodi.
FC0043,Money Laundering,Est minus tempora architecto reprehenderit cum pariatur commodi.
FC0044,Mule Account,Eos rem quibusdam eligendi cumque sapiente cumque.
FC0045,Account Takeover,Saepe debitis voluptatibus expedita eligendi.
FC0046,Mule Account,Fuga minima fuga.
FC0047,Velocity Fraud,Accusamus magni occaecati distinctio.
FC0048,Mule Account,Consequatur magni et temporibus.
FC0049,Mule Account,Blanditiis corrupti dolor temporibus nostrum voluptatibus.
FC0050,Money Laundering,Tempora officiis fugiat nisi natus nam sed necessitatibus.
FC0051,Shared Device Fraud,Beatae quidem quisquam.
FC0052,Money Laundering,Ullam vero consectetur eaque odit.
FC0053,Mule Account,Repellat enim dolorum voluptates ratione.
FC0054,Velocity Fraud,Placeat laboriosam quos nemo.
FC0055,Velocity Fraud,Ducimus sapiente repudiandae provident quia id dicta.
FC0056,Money Laundering,Ipsa itaque eum nulla.
FC0057,Mule Account,Quasi nisi sed et reprehenderit.
FC0058,Account Takeover,Accusamus illo sequi vel sunt mollitia cupiditate harum.
FC0059,Account Takeover,Eveniet vero aperiam repellendus libero culpa.
FC0060,Synthetic Identity,Consequatur quis fugit et beatae.
FC0061,Velocity Fraud,Amet consequatur nihil id.
FC0062,Shared Device Fraud,Possimus saepe non temporibus tempora.
FC0063,Account Takeover,Labore repellat eaque illum nostrum praesentium.
FC0064,Velocity Fraud,Ea qui quia voluptates pariatur odio.
FC0065,Account Takeover,Quae similique maxime optio dolor eligendi.
FC0066,Money Laundering,Exercitationem a nisi placeat officia libero doloremque.
FC0067,Mule Account,Provident reprehenderit minima vel perspiciatis nihil ad modi.
FC0068,Synthetic Identity,Quod consectetur quas quae libero architecto consequatur.
FC0069,Account Takeover,Necessitatibus doloribus ipsum veniam corporis sequi.
FC0070,Velocity Fraud,Distinctio provident aliquid officiis quia quam earum id.
FC0071,Money Laundering,Fugit dignissimos culpa ab.
FC0072,Velocity Fraud,Consectetur tempora sed inventore.
FC0073,Account Takeover,Illum nostrum iste occaecati ratione.
FC0074,Shared Device Fraud,Omnis ea ab assumenda deserunt.
FC0075,Synthetic Identity,Voluptates earum ratione suscipit eum facilis.
FC0076,Account Takeover,Repudiandae unde voluptates pariatur.
FC0077,Velocity Fraud,Optio pariatur magni quia quia cum minima.
FC0078,Account Takeover,Corporis aspernatur dignissimos quisquam.
FC0079,Shared Device Fraud,Culpa in voluptas iusto.
FC0080,Mule Account,Natus nulla ullam odit quisquam placeat.
FC0081,Velocity Fraud,Incidunt sequi distinctio.
FC0082,Mule Account,Iure perspiciatis consequatur similique eveniet molestias.
FC0083,Velocity Fraud,Tempora quo sint distinctio ducimus ipsam fugit.
FC0084,Mule Account,Consequatur incidunt incidunt.
FC0085,Money Laundering,Repudiandae occaecati odio.
FC0086,Money Laundering,Dignissimos labore fuga aliquam rerum.
FC0087,Mule Account,Eius possimus quibusdam.
FC0088,Money Laundering,Repudiandae corporis repudiandae.
FC0089,Synthetic Identity,Impedit fugiat ab nam sunt.
FC0090,Account Takeover,Quia similique sed suscipit adipisci labore.
FC0091,Velocity Fraud,Architecto labore necessitatibus dolores quasi vel impedit.
FC0092,Velocity Fraud,Nulla distinctio odio eius.
FC0093,Account Takeover,Ratione praesentium est odio ad.
FC0094,Mule Account,Consectetur inventore at sint incidunt nemo labore.
FC0095,Shared Device Fraud,Dolore dolor voluptatum esse ipsum nesciunt dolore.
FC0096,Account Takeover,Reprehenderit blanditiis at quo velit quam vel.
FC0097,Velocity Fraud,Ipsum distinctio dolorum perferendis assumenda voluptate ullam.
FC0098,Account Takeover,A ipsa inventore dolorum accusantium.
FC0099,Velocity Fraud,Expedita reprehenderit facere.
FC0100,Money Laundering,Doloremque eveniet sunt corrupti minima temporibus.
FC0101,Shared Device Fraud,Repellendus eius facilis vero possimus.
FC0102,Synthetic Identity,Sint asperiores non nam.
FC0103,Velocity Fraud,Est soluta nihil quaerat occaecati.
FC0104,Shared Device Fraud,Corporis accusantium laborum natus mollitia amet.
FC0105,Shared Device Fraud,Ipsa nihil delectus numquam natus corporis.
FC0106,Mule Account,Quas sint fugiat fugiat earum perspiciatis officia.
FC0107,Synthetic Identity,Quod repudiandae fugit repellat molestias harum.
FC0108,Velocity Fraud,Deleniti eum omnis vitae.
FC0109,Mule Account,Nesciunt cumque officiis officiis totam id sapiente.
FC0110,Money Laundering,Quae doloribus animi nostrum quae.
FC0111,Account Takeover,Laudantium vel illo.
FC0112,Money Laundering,Molestias occaecati cumque aliquam.
FC0113,Account Takeover,Eum recusandae rerum asperiores libero eveniet facere explicabo.
FC0114,Account Takeover,Numquam dolorem illum delectus nemo beatae.
FC0115,Shared Device Fraud,Soluta iure nesciunt similique asperiores unde id illum.
FC0116,Account Takeover,Facilis excepturi incidunt adipisci.
FC0117,Shared Device Fraud,Nostrum ipsam error.
FC0118,Mule Account,Totam blanditiis debitis.
FC0119,Money Laundering,Blanditiis mollitia deleniti beatae.
FC0120,Mule Account,Sint repellendus consequuntur facilis ipsam tempora repellendus.
FC0121,Shared Device Fraud,Natus nesciunt molestias porro id occaecati quasi veritatis.
FC0122,Synthetic Identity,Minima labore omnis amet adipisci labore consequuntur.
FC0123,Synthetic Identity,Facilis ullam perspiciatis voluptas sed non.
FC0124,Velocity Fraud,Beatae officia magni ipsam blanditiis dolorum aperiam.
FC0125,Mule Account,Architecto doloremque nihil dolor suscipit.
FC0126,Velocity Fraud,Accusamus consectetur doloribus sit.
FC0127,Mule Account,Minus ad eveniet ab.
FC0128,Synthetic Identity,Illum quo iusto porro.
FC0129,Synthetic Identity,Iste earum ad cum repudiandae quasi vitae.
FC0130,Money Laundering,Dolorem sunt illum sequi iste error laudantium.
FC0131,Velocity Fraud,Quae sapiente quasi voluptas necessitatibus ratione.
FC0132,Velocity Fraud,Ducimus consequatur unde distinctio.
FC0133,Velocity Fraud,Nihil nostrum ut quibusdam.
FC0134,Synthetic Identity,Eveniet vitae ipsa pariatur.
FC0135,Velocity Fraud,Beatae dolores itaque nulla repellat.
FC0136,Velocity Fraud,Similique at minus repellendus inventore nostrum architecto fugiat.
FC0137,Shared Device Fraud,Molestias in natus eveniet.
FC0138,Velocity Fraud,Labore facere rem consectetur impedit ut soluta.
FC0139,Synthetic Identity,Architecto a quos deserunt quidem iusto.
FC0140,Account Takeover,Iusto officiis amet.
FC0141,Money Laundering,Recusandae eum debitis tempora eum.
FC0142,Money Laundering,Omnis excepturi dicta omnis tempore cumque.
FC0143,Account Takeover,Fuga cupiditate placeat dolorum.
FC0144,Shared Device Fraud,Ut exercitationem voluptates ratione voluptatum.
FC0145,Account Takeover,Provident ipsa quaerat reprehenderit officiis voluptates nesciunt.
FC0146,Money Laundering,Aliquam quos corporis eum cupiditate eligendi repellat dignissimos.
FC0147,Synthetic Identity,Vel deleniti adipisci eius cum.
FC0148,Shared Device Fraud,Eum modi explicabo expedita commodi ipsa.
FC0149,Shared Device Fraud,Earum reiciendis blanditiis placeat inventore.
FC0150,Shared Device Fraud,Itaque ex qui suscipit eligendi eius explicabo fugiat.
FC0151,Shared Device Fraud,A vel nesciunt ipsam doloribus provident.
FC0152,Mule Account,Sunt reprehenderit amet provident inventore aut voluptas aut.
FC0153,Shared Device Fraud,Ex voluptatibus distinctio odit distinctio quaerat molestiae.
FC0154,Mule Account,Ipsam dolores esse perferendis ex officiis hic.
FC0155,Shared Device Fraud,Assumenda eveniet fugiat repellat.
FC0156,Mule Account,Beatae neque dolorem et exercitationem itaque maiores.
FC0157,Money Laundering,Officiis quas illo necessitatibus neque quos.
FC0158,Velocity Fraud,Atque molestias pariatur.
FC0159,Shared Device Fraud,Eos impedit aperiam minima.
FC0160,Velocity Fraud,Quod quam hic molestias.
FC0161,Shared Device Fraud,Nostrum doloremque nisi consequatur.
FC0162,Money Laundering,Et quis non ullam minima ab odio.
FC0163,Shared Device Fraud,Error accusamus in nulla mollitia eum eaque quia.
FC0164,Money Laundering,Distinctio eligendi necessitatibus cumque nam incidunt dolor.
FC0165,Synthetic Identity,Laudantium sequi quaerat molestias quis incidunt dicta.
FC0166,Synthetic Identity,Asperiores enim recusandae.
FC0167,Mule Account,Aliquam natus officiis itaque veritatis nesciunt optio reiciendis.
FC0168,Velocity Fraud,Voluptas fugiat nostrum modi neque.
FC0169,Mule Account,Dolores eaque quam.
FC0170,Account Takeover,Id esse dicta ea ad eligendi dicta repellendus.
FC0171,Mule Account,Laudantium ducimus ipsa reprehenderit.
FC0172,Money Laundering,Impedit magnam sit voluptatibus doloribus debitis.
FC0173,Velocity Fraud,Illo quasi quam quo modi amet qui.
FC0174,Synthetic Identity,Tempore placeat sint.
FC0175,Velocity Fraud,Distinctio esse eveniet recusandae veritatis ab iste.
FC0176,Velocity Fraud,Eius culpa perspiciatis optio aliquid.
FC0177,Account Takeover,Repudiandae enim officia molestias.
FC0178,Synthetic Identity,Necessitatibus beatae asperiores sunt doloremque maxime.
FC0179,Money Laundering,Dolorem consectetur quos numquam.
FC0180,Synthetic Identity,Blanditiis eius voluptate saepe.
FC0181,Mule Account,Illo est delectus culpa.
FC0182,Velocity Fraud,Ducimus perspiciatis qui quas ratione laborum exercitationem.
FC0183,Mule Account,Nemo excepturi laboriosam.
FC0184,Mule Account,Tempora labore minima ab repellat expedita nostrum.
FC0185,Money Laundering,Magni nesciunt molestiae.
FC0186,Shared Device Fraud,Itaque occaecati delectus voluptatibus eveniet numquam.
FC0187,Account Takeover,Ipsam facilis distinctio fuga numquam illo.
FC0188,Money Laundering,Dolores debitis iure doloribus doloremque repellat dolorem.
FC0189,Velocity Fraud,Praesentium rem commodi corporis quas.
FC0190,Mule Account,Tempore enim repudiandae excepturi.
FC0191,Synthetic Identity,Dignissimos debitis nesciunt incidunt aspernatur dicta voluptate.
FC0192,Shared Device Fraud,Optio laudantium voluptatem nihil dolorem.
FC0193,Synthetic Identity,Incidunt delectus unde voluptatum repudiandae.
FC0194,Velocity Fraud,Dolore assumenda maiores placeat.
FC0195,Velocity Fraud,Ipsum officiis dicta.
FC0196,Account Takeover,Eveniet hic incidunt tenetur cum ad.
FC0197,Velocity Fraud,Cupiditate nobis reiciendis.
FC0198,Money Laundering,Necessitatibus voluptas porro.
FC0199,Synthetic Identity,Pariatur suscipit corporis eveniet rem nisi explicabo assumenda.
FC0200,Synthetic Identity,Aliquid ipsum dignissimos.
