transaction_id,customer_id,device_id,receiver_account,transaction_amount,transaction_timestamp,fraud_flag
T0000001,C00302,D00131,B000220,70.39,2025-09-01 03:35:07,0
T0000002,C00515,D00500,B001961,451.52,2025-10-22 21:22:16,0
T0000003,C00881,D00141,B002989,197.51,2025-10-24 19:29:46,0
T0000004,C01542,D00725,B001436,136.94,2025-07-12 03:18:12,0
T0000005,C01302,D00184,B001085,25.44,2026-03-09 12:54:11,0
T0000006,C00359,D01223,B002752,25.44,2026-04-08 15:02:18,0
T0000007,C01539,D00033,B001038,8.98,2025-10-18 18:25:20,0
T0000008,C01541,D00581,B002943,301.68,2026-02-16 22:28:10,0
T0000009,C00522,D01045,B001169,137.86,2025-12-29 03:28:58,0
T0000010,C00694,D01210,B000315,184.69,2025-10-31 02:43:33,0
T0000011,C01935,D01103,B002921,3.12,2026-05-03 02:55:16,0
T0000012,C00585,D00569,B002543,525.53,2026-04-19 07:21:34,0
T0000013,C00174,D00316,B001631,267.96,2025-10-03 13:11:38,0
T0000014,C00498,D00248,B002628,35.8,2026-03-25 14:58:19,0
T0000015,C00341,D00831,B000785,30.1,2025-08-16 03:35:37,0
T0000016,C01137,D01369,B000696,30.39,2025-10-17 13:10:38,0
T0000017,C01839,D01056,B000052,54.41,2025-09-15 19:02:30,0
T0000018,C00125,D01091,B001586,111.59,2025-07-08 11:41:13,0
T0000019,C01694,D00784,B002928,84.83,2025-11-22 08:53:07,0
T0000020,C00068,D00041,B000941,51.63,2026-05-25 20:23:43,0
T0000021,C01117,D01280,B000940,141.96,2026-04-20 02:21:45,0
T0000022,C00471,D00519,B001674,22.54,2026-05-28 12:37:20,0
T0000023,C01517,D01250,B002930,51.83,2025-11-11 23:57:22,0
T0000024,C00903,D00465,B002107,68.44,2025-12-03 22:53:20,0
T0000025,C01726,D00291,B000706,91.34,2026-01-31 04:06:12,0
T0000026,C00521,D00300,B001752,230.69,2025-09-14 10:01:30,1
T0000027,C01089,D01088,B001482,33.41,2025-10-20 11:28:39,0
T0000028,C00974,D00512,B001845,108.3,2025-09-24 06:46:15,0
T0000029,C01132,D00724,B002943,134.63,2025-08-25 21:11:25,0
T0000030,C01865,D00175,B002441,7.13,2026-01-29 02:53:56,0
T0000031,C01100,D00111,B002100,140.3,2025-12-31 20:46:38,0
T0000032,C01791,D01150,B002327,28.04,2025-06-20 00:24:49,0
T0000033,C01201,D00495,B000635,10.09,2026-04-22 04:29:20,0
T0000034,C01566,D00013,B001289,446.05,2026-05-30 16:57:27,0
T0000035,C01440,D00031,B000429,505.59,2025-11-06 21:46:54,0
T0000036,C00921,D00113,B000953,247.85,2026-01-21 20:40:43,1
T0000037,C00184,D00887,B002214,54.49,2025-12-05 12:25:22,0
T0000038,C00781,D00966,B000542,15.42,2026-03-04 01:33:38,0
T0000039,C01704,D01099,B000667,172.91,2026-05-19 21:31:29,0
T0000040,C00488,D00049,B000619,87.01,2025-06-26 07:31:25,0
T0000041,C01324,D01066,B000379,19.52,2026-03-28 17:56:31,0
T0000042,C01161,D00493,B002118,102.53,2025-11-06 10:17:24,0
T0000043,C01893,D01253,B002282,5.25,2025-10-14 16:35:00,0
T0000044,C00344,D00422,B000480,360.06,2025-07-26 14:52:31,1
T0000045,C00472,D01430,B000067,44.92,2025-09-25 23:47:17,1
T0000046,C01070,D01356,B001555,162.94,2025-07-05 00:33:41,0
T0000047,C01864,D00387,B002587,56.03,2026-04-10 10:59:42,0
T0000048,C01778,D00505,B000499,110.12,2025-11-25 14:33:20,1
T0000049,C00172,D00498,B001572,118.68,2026-01-16 18:10:28,0
T0000050,C00592,D00583,B000964,30.66,2025-09-02 13:48:00,0
T0000051,C00593,D00473,B002627,523.92,2025-10-13 13:02:18,0
T0000052,C01208,D00597,B001977,223.84,2025-10-25 14:14:01,0
T0000053,C01604,D00363,B001268,420.76,2026-04-22 16:39:02,0
T0000054,C01206,D01380,B000401,337.82,2025-10-02 09:51:40,1
T0000055,C00407,D01234,B001656,136.66,2026-05-29 00:57:49,0
T0000056,C00008,D01412,B001143,382.42,2025-07-07 18:23:47,0
T0000057,C01951,D01352,B001793,13.9,2025-09-15 03:49:12,0
T0000058,C00679,D00944,B000189,32.72,2025-07-07 05:45:55,0
T0000059,C01992,D00469,B001101,6.94,2025-12-02 10:33:59,0
T0000060,C00027,D00237,B001226,59.03,2026-03-16 03:11:24,0
T0000061,C01452,D00678,B000921,73.82,2025-06-27 07:25:16,0
T0000062,C00004,D00150,B000412,47.48,2026-04-23 09:40:30,0
T0000063,C01676,D00050,B002534,264.68,2025-10-28 18:21:07,0
T0000064,C01071,D00463,B002301,66.18,2025-11-06 07:32:10,0
T0000065,C00881,D00141,B001206,49.47,2025-08-13 11:19:46,0
T0000066,C00774,D01225,B002486,117.36,2026-06-05 09:31:08,0
T0000067,C00032,D01099,B002286,22.78,2025-07-27 08:59:17,0
T0000068,C01839,D00105,B002794,243.07,2026-04-24 02:00:18,0
T0000069,C00994,D00325,B001520,11.62,2026-04-29 22:48:15,0
T0000070,C00879,D00592,B000318,650.12,2025-11-04 17:16:35,0
T0000071,C01837,D00339,B001819,221.92,2026-05-17 02:18:17,0
T0000072,C00046,D00313,B002874,33.23,2026-05-07 21:01:35,0
T0000073,C00735,D01164,B002585,0.83,2026-01-07 11:14:43,0
T0000074,C01145,D01228,B001240,253.48,2025-10-29 12:17:44,0
T0000075,C01134,D01033,B002342,184.06,2026-04-20 12:40:58,0
T0000076,C00286,D00322,B001480,195.85,2026-05-02 13:03:54,0
T0000077,C00644,D00185,B001872,221.28,2025-12-21 20:45:19,0
T0000078,C00185,D00103,B002000,11.54,2025-10-28 18:40:34,0
T0000079,C01234,D01224,B000396,66.58,2025-08-07 12:33:04,0
T0000080,C01633,D00656,B002493,18.47,2026-02-16 08:09:55,0
T0000081,C00825,D00663,B000726,298.28,2025-07-03 20:33:08,0
T0000082,C01236,D00968,B002407,146.45,2025-08-15 03:51:36,1
T0000083,C00110,D01287,B001083,60.27,2025-08-05 11:24:41,0
T0000084,C00751,D00616,B000432,9.85,2025-12-08 05:31:19,0
T0000085,C00710,D00722,B000186,55.87,2026-04-09 23:59:15,0
T0000086,C01597,D01065,B002368,59.0,2026-01-24 15:00:44,0
T0000087,C01730,D00435,B000001,196.18,2026-04-01 04:03:35,0
T0000088,C00037,D00981,B001120,152.23,2026-05-20 18:00:17,0
T0000089,C01896,D00133,B000217,327.34,2026-02-28 14:36:06,0
T0000090,C00433,D00429,B001926,95.86,2025-08-02 20:04:03,0
T0000091,C01031,D00967,B002503,19.11,2026-03-04 13:39:19,0
T0000092,C01477,D00402,B000324,187.37,2026-01-24 01:03:46,0
T0000093,C01336,D00834,B001073,214.56,2026-01-13 01:58:51,0
T0000094,C00493,D00572,B001720,123.58,2026-05-03 21:10:21,1
T0000095,C01929,D00065,B000425,221.08,2025-08-27 12:38:31,1
T0000096,C00720,D01059,B002440,102.12,2026-03-16 01:00:21,0
T0000097,C00003,D00454,B000448,110.95,2025-12-20 17:59:03,0
T0000098,C01346,D01043,B001751,83.67,2025-07-28 06:59:55,0
T0000099,C01803,D00637,B000932,3.86,2025-09-17 23:48:48,0
T0000100,C01766,D00921,B002440,17.13,2026-02-11 12:53:05,0
T0000101,C00090,D00392,B001763,4.79,2025-12-08 15:17:38,0
T0000102,C01394,D00651,B002289,151.76,2025-07-21 23:33:47,0
T0000103,C01435,D00370,B002352,56.61,2025-07-06 17:28:15,0
T0000104,C01151,D00830,B000930,106.57,2026-01-29 20:52:23,0
T0000105,C00289,D00584,B001693,357.19,2025-12-04 15:25:37,0
T0000106,C01174,D01083,B001689,43.01,2026-03-12 22:59:03,0
T0000107,C01219,D00494,B001935,79.24,2025-09-13 08:22:01,0
T0000108,C00847,D00092,B002954,211.31,2025-12-21 21:45:59,0
T0000109,C00290,D01202,B001274,38.97,2026-02-07 17:51:49,0
T0000110,C00170,D00174,B002972,12.02,2025-07-29 11:04:14,0
T0000111,C00073,D00932,B000630,51.32,2026-03-24 06:45:51,0
T0000112,C01150,D01086,B000909,26.37,2026-04-29 21:06:24,0
T0000113,C00141,D01279,B000874,398.24,2026-03-29 02:02:08,0
T0000114,C01605,D00951,B002147,247.63,2026-05-18 05:33:24,0
T0000115,C01688,D00237,B000621,150.52,2025-11-27 22:15:39,0
T0000116,C00124,D00851,B002236,307.73,2026-04-20 00:05:22,0
T0000117,C01527,D01192,B002410,244.2,2026-06-05 21:33:33,0
T0000118,C01470,D01258,B002220,30.97,2026-03-09 23:38:45,0
T0000119,C01121,D00692,B001303,334.62,2026-04-12 10:36:45,0
T0000120,C00784,D01405,B000565,116.26,2025-12-16 01:08:52,0
T0000121,C00678,D00002,B002913,247.1,2025-07-02 11:35:50,0
T0000122,C01444,D01334,B001840,339.64,2026-04-10 05:16:32,0
T0000123,C00722,D01053,B001627,57.41,2025-11-21 07:28:01,0
T0000124,C01157,D01182,B000040,17.49,2025-09-11 21:44:58,0
T0000125,C01108,D01114,B001330,38.8,2025-07-21 12:55:23,0
T0000126,C01011,D00297,B002993,83.56,2026-05-24 20:24:18,1
T0000127,C01229,D00018,B000409,255.57,2025-07-05 23:55:51,0
T0000128,C00206,D00129,B001589,295.7,2025-07-29 08:11:01,0
T0000129,C01407,D00209,B001209,1.05,2025-09-19 14:51:56,0
T0000130,C00912,D00275,B001674,107.23,2025-10-27 04:57:58,0
T0000131,C01299,D01346,B002544,81.04,2025-10-26 17:06:36,0
T0000132,C00479,D00012,B001098,37.68,2026-01-30 18:53:26,0
T0000133,C00171,D00264,B000003,19.15,2025-12-18 07:26:39,0
T0000134,C01366,D00554,B001286,61.79,2025-11-18 20:44:13,0
T0000135,C01844,D00532,B000244,429.47,2025-11-06 12:05:17,1
T0000136,C01762,D00243,B002866,58.56,2025-11-30 02:57:38,0
T0000137,C00162,D01424,B000879,109.72,2025-06-20 01:35:10,0
T0000138,C01906,D00282,B001422,182.11,2025-12-01 13:04:06,0
T0000139,C01341,D00690,B001064,67.8,2025-10-11 06:28:06,0
T0000140,C01824,D01235,B000246,535.17,2025-09-15 17:40:07,1
T0000141,C01710,D00583,B002913,492.3,2026-01-25 08:14:58,0
