audit_id,transaction_id,customer_id,fraud_probability,overall_risk_score,risk_category,decision
AUDT0000001,T0000001,C00479,20.81,20.81,LOW,ALLOW
AUDT0000002,T0000002,C00900,25.87,25.87,LOW,ALLOW
AUDT0000003,T0000003,C01043,34.22,34.22,LOW,ALLOW
AUDT0000004,T0000004,C01952,6.07,6.07,LOW,ALLOW
AUDT0000005,T0000005,C00587,5.1,5.1,LOW,ALLOW
AUDT0000006,T0000006,C01325,31.66,31.66,LOW,ALLOW
AUDT0000007,T0000007,C00193,24.24,24.24,LOW,ALLOW
AUDT0000008,T0000008,C00258,21.56,21.56,LOW,ALLOW
AUDT0000009,T0000009,C00798,80.76,80.76,HIGH,BLOCK
AUDT0000010,T0000010,C01864,74.73,74.73,HIGH,BLOCK
AUDT0000011,T0000011,C01741,30.67,30.67,LOW,ALLOW
AUDT0000012,T0000012,C01713,18.29,18.29,LOW,ALLOW
AUDT0000013,T0000013,C00145,14.28,14.28,LOW,ALLOW
AUDT0000014,T0000014,C00381,29.27,29.27,LOW,ALLOW
AUDT0000015,T0000015,C00473,24.5,24.5,LOW,ALLOW
AUDT0000016,T0000016,C01329,18.32,18.32,LOW,ALLOW
AUDT0000017,T0000017,C01488,1.02,1.02,LOW,ALLOW
AUDT0000018,T0000018,C01063,12.9,12.9,LOW,ALLOW
AUDT0000019,T0000019,C01673,14.12,14.12,LOW,ALLOW
AUDT0000020,T0000020,C00836,4.2,4.2,LOW,ALLOW
AUDT0000021,T0000021,C01528,20.66,20.66,LOW,ALLOW
AUDT0000022,T0000022,C00248,18.8,18.8,LOW,ALLOW
AUDT0000023,T0000023,C00392,11.99,11.99,LOW,ALLOW
AUDT0000024,T0000024,C01240,3.33,3.33,LOW,ALLOW
AUDT0000025,T0000025,C01012,34.01,34.01,LOW,ALLOW
AUDT0000026,T0000026,C00361,2.18,2.18,LOW,ALLOW
AUDT0000027,T0000027,C01614,79.0,79.0,HIGH,BLOCK
AUDT0000028,T0000028,C01967,31.35,31.35,LOW,ALLOW
AUDT0000029,T0000029,C00210,6.79,6.79,LOW,ALLOW
AUDT0000030,T0000030,C01040,4.49,4.49,LOW,ALLOW
AUDT0000031,T0000031,C00377,17.79,17.79,LOW,ALLOW
AUDT0000032,T0000032,C00727,17.42,17.42,LOW,ALLOW
AUDT0000033,T0000033,C01153,26.27,26.27,LOW,ALLOW
AUDT0000034,T0000034,C00315,2.61,2.61,LOW,ALLOW
AUDT0000035,T0000035,C00883,39.74,39.74,LOW,ALLOW
AUDT0000036,T0000036,C01004,91.84,91.84,HIGH,BLOCK
AUDT0000037,T0000037,C00443,21.93,21.93,LOW,ALLOW
AUDT0000038,T0000038,C01096,36.82,36.82,LOW,ALLOW
AUDT0000039,T0000039,C01461,25.87,25.87,LOW,ALLOW
AUDT0000040,T0000040,C01140,35.8,35.8,LOW,ALLOW
AUDT0000041,T0000041,C01042,20.47,20.47,LOW,ALLOW
AUDT0000042,T0000042,C00512,16.05,16.05,LOW,ALLOW
AUDT0000043,T0000043,C01918,7.09,7.09,LOW,ALLOW
AUDT0000044,T0000044,C01736,34.84,34.84,LOW,ALLOW
AUDT0000045,T0000045,C00097,31.4,31.4,LOW,ALLOW
AUDT0000046,T0000046,C01667,25.4,25.4,LOW,ALLOW
AUDT0000047,T0000047,C00968,98.06,98.06,HIGH,BLOCK
AUDT0000048,T0000048,C00689,36.05,36.05,LOW,ALLOW
AUDT0000049,T0000049,C00379,15.68,15.68,LOW,ALLOW
AUDT0000050,T0000050,C01596,85.23,85.23,HIGH,BLOCK
AUDT0000051,T0000051,C00028,23.08,23.08,LOW,ALLOW
AUDT0000052,T0000052,C01601,39.83,39.83,LOW,ALLOW
AUDT0000053,T0000053,C00769,18.55,18.55,LOW,ALLOW
AUDT0000054,T0000054,C01966,9.87,9.87,LOW,ALLOW
AUDT0000055,T0000055,C00010,21.5,21.5,LOW,ALLOW
AUDT0000056,T0000056,C01889,14.5,14.5,LOW,ALLOW
AUDT0000057,T0000057,C00941,22.41,22.41,LOW,ALLOW
AUDT0000058,T0000058,C00229,74.38,74.38,HIGH,BLOCK
AUDT0000059,T0000059,C00142,12.61,12.61,LOW,ALLOW
AUDT0000060,T0000060,C01391,33.99,33.99,LOW,ALLOW
AUDT0000061,T0000061,C00742,19.46,19.46,LOW,ALLOW
AUDT0000062,T0000062,C01071,16.49,16.49,LOW,ALLOW
AUDT0000063,T0000063,C01169,31.26,31.26,LOW,ALLOW
AUDT0000064,T0000064,C01461,39.51,39.51,LOW,ALLOW
AUDT0000065,T0000065,C00480,3.99,3.99,LOW,ALLOW
AUDT0000066,T0000066,C00615,28.45,28.45,LOW,ALLOW
AUDT0000067,T0000067,C01896,7.62,7.62,LOW,ALLOW
AUDT0000068,T0000068,C01974,23.0,23.0,LOW,ALLOW
AUDT0000069,T0000069,C00469,26.22,26.22,LOW,ALLOW
AUDT0000070,T0000070,C00393,7.43,7.43,LOW,ALLOW
AUDT0000071,T0000071,C01803,27.2,27.2,LOW,ALLOW
AUDT0000072,T0000072,C01893,29.55,29.55,LOW,ALLOW
AUDT0000073,T0000073,C01994,38.43,38.43,LOW,ALLOW
AUDT0000074,T0000074,C01081,39.88,39.88,LOW,ALLOW
AUDT0000075,T0000075,C01036,16.57,16.57,LOW,ALLOW
AUDT0000076,T0000076,C00977,22.36,22.36,LOW,ALLOW
AUDT0000077,T0000077,C01278,12.58,12.58,LOW,ALLOW
AUDT0000078,T0000078,C01836,37.69,37.69,LOW,ALLOW
AUDT0000079,T0000079,C00973,5.2,5.2,LOW,ALLOW
AUDT0000080,T0000080,C01043,29.45,29.45,LOW,ALLOW
AUDT0000081,T0000081,C01892,73.08,73.08,HIGH,BLOCK
AUDT0000082,T0000082,C01307,19.59,19.59,LOW,ALLOW
AUDT0000083,T0000083,C00391,12.63,12.63,LOW,ALLOW
AUDT0000084,T0000084,C01542,33.97,33.97,LOW,ALLOW
AUDT0000085,T0000085,C00169,16.51,16.51,LOW,ALLOW
AUDT0000086,T0000086,C00969,1.36,1.36,LOW,ALLOW
AUDT0000087,T0000087,C01673,18.38,18.38,LOW,ALLOW
AUDT0000088,T0000088,C01157,36.72,36.72,LOW,ALLOW
AUDT0000089,T0000089,C00307,27.68,27.68,LOW,ALLOW
AUDT0000090,T0000090,C01673,1.9,1.9,LOW,ALLOW
AUDT0000091,T0000091,C00081,35.47,35.47,LOW,ALLOW
AUDT0000092,T0000092,C01596,34.4,34.4,LOW,ALLOW
AUDT0000093,T0000093,C01423,6.92,6.92,LOW,ALLOW
AUDT0000094,T0000094,C00465,8.95,8.95,LOW,ALLOW
AUDT0000095,T0000095,C00733,12.52,12.52,LOW,ALLOW
AUDT0000096,T0000096,C01641,19.94,19.94,LOW,ALLOW
AUDT0000097,T0000097,C00426,17.9,17.9,LOW,ALLOW
AUDT0000098,T0000098,C00180,21.82,21.82,LOW,ALLOW
AUDT0000099,T0000099,C01911,17.03,17.03,LOW,ALLOW
AUDT0000100,T0000100,C01531,28.16,28.16,LOW,ALLOW
AUDT0000101,T0000101,C01041,16.68,16.68,LOW,ALLOW
AUDT0000102,T0000102,C01422,23.57,23.57,LOW,ALLOW
AUDT0000103,T0000103,C01993,37.39,37.39,LOW,ALLOW
AUDT0000104,T0000104,C00708,15.3,15.3,LOW,ALLOW
AUDT0000105,T0000105,C01913,20.58,20.58,LOW,ALLOW
AUDT0000106,T0000106,C00239,30.65,30.65,LOW,ALLOW
AUDT0000107,T0000107,C01200,14.18,14.18,LOW,ALLOW
AUDT0000108,T0000108,C01771,11.18,11.18,LOW,ALLOW
AUDT0000109,T0000109,C00280,2.86,2.86,LOW,ALLOW
AUDT0000110,T0000110,C00100,22.06,22.06,LOW,ALLOW
AUDT0000111,T0000111,C01546,31.98,31.98,LOW,ALLOW
AUDT0000112,T0000112,C01146,1.68,1.68,LOW,ALLOW
AUDT0000113,T0000113,C00020,26.76,26.76,LOW,ALLOW
AUDT0000114,T0000114,C01967,2.55,2.55,LOW,ALLOW
AUDT0000115,T0000115,C00559,19.82,19.82,LOW,ALLOW
AUDT0000116,T0000116,C00147,18.06,18.06,LOW,ALLOW
AUDT0000117,T0000117,C00215,37.54,37.54,LOW,ALLOW
AUDT0000118,T0000118,C00837,9.04,9.04,LOW,ALLOW
AUDT0000119,T0000119,C01882,18.6,18.6,LOW,ALLOW
AUDT0000120,T0000120,C01953,92.0,92.0,HIGH,BLOCK
AUDT0000121,T0000121,C00594,31.88,31.88,LOW,ALLOW
AUDT0000122,T0000122,C01343,11.45,11.45,LOW,ALLOW
AUDT0000123,T0000123,C01644,6.17,6.17,LOW,ALLOW
AUDT0000124,T0000124,C00713,25.26,25.26,LOW,ALLOW
