behavior_id,customer_id,device_id,current_city,behavior_risk_score
BH000001,C00646,D00448,Morbi,42.74
BH000002,C01531,D01470,Panihati,74.39
BH000003,C00466,D00495,Panipat,5.32
BH000004,C01167,D00684,Nanded,19.96
BH000005,C00068,D01008,Bhavnagar,7.09
BH000006,C00882,D00685,Pali,31.39
BH000007,C00031,D00321,Kirari Suleman Nagar,95.7
BH000008,C00526,D01132,Raichur,83.0
BH000009,C01339,D01095,Tumkur,87.73
BH000010,C01176,D00463,Ballia,56.18
BH000011,C00671,D01378,Bhiwandi,22.7
BH000012,C01323,D00231,Bhind,79.74
BH000013,C01069,D00977,Bidar,41.32
BH000014,C01138,D00594,Aligarh,21.33
BH000015,C01757,D00305,Hapur,34.46
BH000016,C01219,D00110,Sonipat,27.9
BH000017,C00968,D00157,Jalandhar,41.34
BH000018,C01501,D01326,Noida,95.93
BH000019,C01625,D00784,Shahjahanpur,97.74
BH000020,C00415,D01462,Alappuzha,81.09
BH000021,C00170,D00123,Guntakal,90.17
BH000022,C01486,D01038,Bettiah,3.55
BH000023,C00681,D00990,Mango,15.37
BH000024,C01587,D01123,Satna,22.18
BH000025,C00376,D01301,Mira-Bhayandar,46.83
BH000026,C00608,D01242,Jhansi,97.08
BH000027,C01605,D01317,Gangtok,43.79
BH000028,C01074,D00961,Sasaram,33.74
BH000029,C01881,D00185,Kirari Suleman Nagar,42.07
BH000030,C00124,D00163,Sagar,86.2
BH000031,C01118,D00947,Rewa,3.89
BH000032,C00880,D00542,Sangli-Miraj & Kupwad,19.38
BH000033,C01123,D00826,Agra,98.97
BH000034,C00515,D00085,Bahraich,93.09
BH000035,C01031,D00111,Jalgaon,54.72
BH000036,C01982,D01031,Chittoor,31.79
BH000037,C00467,D00590,Hyderabad,92.11
BH000038,C01634,D00691,Jabalpur,40.59
BH000039,C00283,D00635,Parbhani,33.08
BH000040,C00109,D00320,Berhampur,81.63
BH000041,C01899,D00051,Haridwar,70.47
BH000042,C00806,D01376,Katni,44.9
BH000043,C00688,D00951,Katni,8.01
BH000044,C01968,D00924,Bokaro,15.95
BH000045,C01157,D01018,Rampur,72.92
BH000046,C00020,D00445,Jabalpur,3.4
BH000047,C01919,D00858,Lucknow,90.23
BH000048,C00665,D00397,Yamunanagar,4.25
BH000049,C01289,D00601,Mangalore,73.06
BH000050,C01365,D01350,Tadepalligudem,10.17
BH000051,C00479,D00187,Jammu,95.1
BH000052,C00206,D01054,Ambarnath,77.89
BH000053,C01928,D00926,Srinagar,9.48
BH000054,C01407,D00316,Uluberia,14.23
BH000055,C01650,D01478,Buxar,70.42
BH000056,C00912,D00847,Aizawl,5.4
BH000057,C01440,D00454,Khandwa,16.82
BH000058,C00049,D00744,Secunderabad,71.71
BH000059,C00760,D00514,Kolhapur,31.51
BH000060,C01884,D01257,Dharmavaram,69.86
