entity_id,entity_name,sanction_source,risk_level
S0001,Bajwa Ltd,PEP,High
S0002,Bali and Sons,Internal,High
S0003,"Chauhan, Wali and Bawa",UN,Medium
S0004,"Acharya, Shanker and Dhawan",EU,High
S0005,Goswami Inc,PEP,High
S0006,Oak PLC,UN,High
S0007,"Kannan, Dhawan and Srinivas",Internal,High
S0008,Balakrishnan Ltd,Internal,Medium
S0009,Nigam-Ramesh,PEP,High
S0010,Bera-Loke,Internal,Medium
S0011,Mohanty and Sons,UN,Medium
S0012,"Kuruvilla, Prabhakar and Kant",Internal,Medium
S0013,"Ravel, Shukla and Master",UN,Medium
S0014,"Shenoy, Pathak and Kumer",OFAC,Medium
S0015,"Bobal, Natarajan and Dubey",PEP,High
S0016,Sabharwal and Sons,Internal,Medium
S0017,Singh-Palan,UN,Medium
S0018,Hora Ltd,EU,Medium
S0019,Joshi Ltd,EU,High
S0020,"Mallick, Viswanathan and Palla",PEP,High
S0021,Chakrabarti Inc,UN,High
S0022,"Balasubramanian, Murty and Pradhan",PEP,High
S0023,Kurian and Sons,UN,Medium
S0024,Pradhan Ltd,PEP,Medium
S0025,"Karan, Bora and Chowdhury",UN,Medium
S0026,"Pall, Viswanathan and Hayre",OFAC,Medium
S0027,"Lalla, Bajwa and Karnik",OFAC,Medium
S0028,Kota-Chaudhari,UN,High
S0029,Ravi and Sons,EU,Medium
S0030,Chandran Group,Internal,High
S0031,Deep-Bora,PEP,High
S0032,Bala-Wali,UN,High
S0033,Buch Group,PEP,Medium
S0034,Kalla-Saraf,PEP,High
S0035,Sachdeva LLC,Internal,High
S0036,"Bava, De and Merchant",OFAC,High
S0037,"Bava, Som and Bera",Internal,High
S0038,"Roy, Chaudhari and Walia",EU,Medium
S0039,Ray-Kamdar,EU,High
S0040,Balan PLC,PEP,High
S0041,Krishna Ltd,OFAC,High
S0042,"Wason, Setty and Bhargava",Internal,High
S0043,"Shah, Kalita and Dasgupta",OFAC,High
S0044,"Sethi, Kumer and Sawhney",PEP,Medium
S0045,Ramaswamy-Mutti,Internal,Medium
S0046,"Mohanty, Sekhon and Narain",OFAC,Medium
S0047,Kamdar-Padmanabhan,PEP,Medium
S0048,Sharaf-Zacharia,OFAC,High
S0049,Pathak-Konda,UN,High
S0050,Menon PLC,EU,High
S0051,Shah-Goswami,PEP,Medium
S0052,Prashad-Sant,Internal,Medium
S0053,Bajaj LLC,PEP,Medium
S0054,Bath-Bal,UN,Medium
S0055,"Jha, Tata and Sangha",OFAC,Medium
S0056,"Tara, Dada and Minhas",EU,Medium
S0057,Mangal-Din,Internal,Medium
S0058,"Keer, Trivedi and Doctor",Internal,High
S0059,Biswas PLC,Internal,Medium
S0060,Dhar-Sheth,Internal,Medium
S0061,Bali Ltd,EU,Medium
S0062,"Butala, Parikh and Bobal",OFAC,Medium
S0063,"Dasgupta, Devan and Bali",Internal,Medium
S0064,"Parmer, Chandra and Panchal",UN,High
S0065,"Iyengar, Contractor and Chopra",UN,High
S0066,Sastry LLC,OFAC,High
S0067,Sundaram-Kakar,EU,High
S0068,Comar and Sons,Internal,High
S0069,Chawla Inc,PEP,High
S0070,"Kashyap, Kota and Borra",EU,Medium
S0071,Grewal-Chadha,EU,Medium
S0072,"Srinivas, Ahluwalia and Raja",OFAC,High
S0073,Sani-Lanka,Internal,High
S0074,"Kanda, Babu and Oommen",UN,Medium
S0075,Ravel-Behl,OFAC,High
S0076,Goda Group,UN,Medium
S0077,Gola Group,PEP,Medium
S0078,"Cherian, Parekh and Nazareth",UN,High
S0079,More Ltd,UN,High
S0080,"Shenoy, Chacko and Kade",PEP,Medium
S0081,Dugar Inc,UN,High
S0082,"Dasgupta, Upadhyay and Bali",OFAC,Medium
S0083,"Sabharwal, Wali and Ramakrishnan",EU,Medium
S0084,Kaul-Uppal,PEP,Medium
S0085,Bhardwaj PLC,Internal,Medium
S0086,"Dar, Subramaniam and Kannan",UN,High
S0087,"Devi, Bail and Prabhakar",UN,High
S0088,Raman-Patel,EU,Medium
S0089,"Palla, Warrior and Natarajan",OFAC,High
S0090,Gill LLC,Internal,Medium
S0091,Sule-Prabhu,Internal,High
S0092,Samra-Bawa,UN,High
S0093,Agate-Chada,EU,Medium
S0094,Char LLC,Internal,High
S0095,Dutt-Bahri,UN,Medium
S0096,"Contractor, Halder and Som",EU,High
S0097,Nayak-Sekhon,OFAC,High
S0098,Kata Ltd,EU,Medium
S0099,Chawla-Bhandari,PEP,High
S0100,"Sodhi, Balan and Chahal",Internal,Medium
S0101,"Chand, Raval and Saha",PEP,High
S0102,Sarin-Narain,UN,Medium
S0103,Mohan-Chopra,OFAC,High
S0104,"Korpal, Swamy and Karpe",UN,High
S0105,"Chhabra, Gill and Bora",PEP,High
S0106,"Kunda, Mangal and Solanki",OFAC,Medium
S0107,Din Inc,EU,High
S0108,"Reddy, Pillai and Gopal",EU,High
S0109,Nori-Borde,PEP,High
S0110,"Sinha, Vohra and Banerjee",EU,Medium
S0111,Mani-Manda,OFAC,Medium
