transaction_id,customer_id,device_id,merchant_id,receiver_account,transaction_amount,transaction_timestamp,fraud_flag
T0000001,C00479,D00187,M0075,B001799,70.39,2025-11-05 00:35:06,0
T0000002,C00900,D01210,M0074,B001910,451.52,2025-11-11 09:48:15,0
T0000003,C01043,D00279,M0039,B001444,197.51,2025-07-25 15:48:06,0
T0000004,C01952,D01091,M0057,B001358,136.94,2025-08-06 15:29:36,0
T0000005,C00587,D00036,M0089,B002205,25.44,2025-11-05 22:12:03,0
T0000006,C01325,D00958,M0063,B002563,25.44,2025-12-23 03:33:05,0
T0000007,C00193,D00642,M0079,B001641,8.98,2026-05-22 18:30:03,0
T0000008,C00258,D00471,M0025,B000026,301.68,2026-06-03 17:35:00,0
T0000009,C00798,D01132,M0070,B002446,137.86,2025-12-13 18:41:29,1
T0000010,C01864,D00992,M0062,B001141,184.69,2025-08-17 16:02:50,1
T0000011,C01741,D01200,M0015,B000969,3.12,2025-09-13 17:20:19,0
T0000012,C01713,D01087,M0033,B000833,525.53,2026-05-26 01:34:02,0
T0000013,C00145,D00984,M0024,B000196,267.96,2025-11-06 00:49:51,0
T0000014,C00381,D00201,M0026,B001973,35.8,2026-01-19 08:03:45,0
T0000015,C00473,D01097,M0034,B000660,30.1,2025-12-25 12:06:45,0
T0000016,C01329,D01368,M0045,B001086,30.39,2025-09-15 15:24:16,0
T0000017,C01488,D00284,M0057,B001976,54.41,2026-01-19 17:15:43,0
T0000018,C01063,D00724,M0057,B000716,111.59,2025-10-06 09:31:17,0
T0000019,C01673,D00260,M0004,B000311,84.83,2026-04-07 10:26:49,0
T0000020,C00836,D01316,M0074,B001841,51.63,2025-10-21 05:47:43,0
T0000021,C01528,D00185,M0049,B000024,141.96,2026-04-24 21:58:08,0
T0000022,C00248,D01143,M0022,B002496,22.54,2025-06-22 10:06:12,0
T0000023,C00392,D00662,M0093,B002298,51.83,2025-07-04 12:32:02,0
T0000024,C01240,D00359,M0099,B002231,68.44,2026-02-20 11:29:50,0
T0000025,C01012,D01402,M0010,B000725,91.34,2025-12-23 02:02:22,0
T0000026,C00361,D00221,M0092,B001663,230.69,2026-03-10 06:51:19,0
T0000027,C01614,D01407,M0023,B001959,33.41,2025-11-20 13:50:46,1
T0000028,C01967,D01007,M0095,B002906,108.3,2025-06-29 14:22:14,0
T0000029,C00210,D01435,M0099,B001718,134.63,2025-08-06 15:14:05,0
T0000030,C01040,D01104,M0070,B001996,7.13,2025-11-20 13:47:55,0
T0000031,C00377,D01007,M0022,B002966,140.3,2025-06-26 05:54:57,0
T0000032,C00727,D01242,M0006,B002117,28.04,2025-11-18 20:45:38,0
T0000033,C01153,D00830,M0016,B002050,10.09,2025-12-03 22:03:01,0
T0000034,C00315,D00077,M0054,B002531,446.05,2025-07-18 02:47:45,0
T0000035,C00883,D00380,M0013,B000107,505.59,2026-05-24 19:21:26,0
T0000036,C01004,D01487,M0079,B001092,247.85,2025-10-28 05:03:30,1
T0000037,C00443,D00231,M0088,B000873,54.49,2025-06-19 05:56:44,0
T0000038,C01096,D00379,M0014,B001242,15.42,2025-07-15 06:55:32,0
T0000039,C01461,D00667,M0013,B002518,172.91,2025-08-15 08:36:07,0
T0000040,C01140,D00420,M0001,B000280,87.01,2026-06-01 14:41:34,0
T0000041,C01042,D00535,M0045,B002546,19.52,2026-04-14 10:04:09,0
T0000042,C00512,D00793,M0048,B002304,102.53,2026-04-24 15:35:51,0
T0000043,C01918,D01298,M0075,B002800,5.25,2026-03-16 07:12:18,0
T0000044,C01736,D00139,M0013,B000224,360.06,2025-11-26 23:48:04,0
T0000045,C00097,D00710,M0091,B000716,44.92,2026-03-27 22:17:50,0
T0000046,C01667,D00473,M0044,B000675,162.94,2026-04-29 19:46:06,0
T0000047,C00968,D01158,M0023,B001315,56.03,2025-09-20 00:54:27,1
T0000048,C00689,D00202,M0098,B000482,110.12,2026-05-27 04:23:49,0
T0000049,C00379,D00064,M0087,B001103,118.68,2025-07-26 08:35:47,0
T0000050,C01596,D01306,M0088,B002561,30.66,2025-12-05 01:02:32,1
T0000051,C00028,D00616,M0033,B002236,523.92,2026-03-02 08:35:17,0
T0000052,C01601,D00657,M0080,B001804,223.84,2026-04-04 22:09:47,0
T0000053,C00769,D00691,M0002,B002131,420.76,2026-05-10 22:48:14,0
T0000054,C01966,D00585,M0070,B000330,337.82,2025-07-16 15:43:32,0
T0000055,C00010,D00885,M0080,B001657,136.66,2026-02-14 04:03:40,0
