behavior_id,customer_id,device_id,device_fingerprint,ip_address,current_country,current_city,previous_country,previous_city,location_change_flag,login_timestamp,logout_timestamp,session_duration_minutes,transactions_last_1h,transactions_last_24h,avg_session_duration,typing_speed_score,mouse_movement_score,device_risk_score,behavior_risk_score,account_takeover_suspected,created_at
BEH000000,CUST11335,DEV01352,48d68f96b7114ae8,57.11.214.247,China,Mooreport,India,Jacobmouth,True,2026-05-13 19:32:00,2026-05-13 19:48:00,19,12,4,15.4,27.88,8.33,90.0,95.0,True,2026-05-13 19:32:00
BEH000001,CUST10628,DEV00905,330cbd18d8354e4f,47.116.50.70,China,Ayalaburgh,India,South Tyler,True,2026-05-24 10:05:00,2026-05-24 10:49:00,19,15,5,15.4,18.71,19.53,90.0,95.0,True,2026-05-24 10:05:00
BEH000002,CUST11746,DEV00821,982cdd8132a64917,199.18.204.61,China,Kevinfurt,India,South Erik,True,2026-06-05 07:30:00,2026-06-05 08:11:00,26,13,2,15.4,13.73,19.84,90.0,95.0,True,2026-06-05 07:30:00
BEH000003,CUST10771,DEV00425,1458b1ac084648f4,134.97.122.244,China,Jorgetown,India,Justinhaven,True,2026-05-12 02:52:00,2026-05-12 03:27:00,6,11,6,15.4,14.1,28.26,90.0,95.0,True,2026-05-12 02:52:00
BEH000004,CUST11385,DEV00679,8ce0bc886aa3423c,5.67.95.16,China,Seanchester,India,Jamiebury,True,2026-04-25 19:17:00,2026-04-25 19:38:00,42,5,5,15.4,27.34,15.42,90.0,95.0,True,2026-04-25 19:17:00
BEH000005,CUST10482,DEV00218,3f36e61642354055,99.217.124.214,China,North Ronaldberg,India,Christopherhaven,True,2026-05-24 13:09:00,2026-05-24 13:16:00,5,14,5,15.4,31.59,29.09,90.0,95.0,True,2026-05-24 13:09:00
BEH000006,CUST10514,DEV01311,f6291c6d3e0b477e,207.239.207.225,China,Sanchezport,India,Cookburgh,True,2026-04-27 10:00:00,2026-04-27 10:12:00,33,11,4,15.4,16.05,20.58,90.0,95.0,True,2026-04-27 10:00:00
BEH000007,CUST11251,DEV00625,75a0492c0cfb43bf,140.91.85.62,China,Alextown,India,Michaelstad,True,2026-06-06 11:58:00,2026-06-06 12:18:00,9,11,5,15.4,24.17,13.97,90.0,95.0,True,2026-06-06 11:58:00
BEH000008,CUST11074,DEV01046,af92384ae42e4d43,202.207.85.24,China,Webbmouth,India,Port Christopherside,True,2026-05-26 10:22:00,2026-05-26 10:51:00,16,13,6,15.4,29.48,23.06,90.0,95.0,True,2026-05-26 10:22:00
BEH000009,CUST11324,DEV01477,3c877c8487c6474c,193.102.105.113,China,Karentown,India,East Vincent,True,2026-06-06 00:24:00,2026-06-06 00:29:00,37,10,2,15.4,18.95,16.0,90.0,95.0,True,2026-06-06 00:24:00
