device_id,device_fingerprint,device_type,operating_system,browser,first_seen,last_seen,associated_customers_count,device_risk_score,is_blacklisted,created_at
DEV00000,aa5c3c540ba8449ca3f89500c9e67058,Laptop,iOS,Edge,2026-03-02 12:00:00,2026-06-08 12:00:00,1,75.43,True,2026-06-08 12:00:00
DEV00001,2a8c6858b54e4cdcb7790a29ff7a36a6,Mobile,MacOS,Edge,2026-01-17 12:00:00,2026-06-08 12:00:00,1,99.56,True,2026-06-08 12:00:00
DEV00002,6b573642811747cd8a41091d99dfe208,Tablet,iOS,Chrome,2025-12-23 12:00:00,2026-06-08 12:00:00,1,92.96,True,2026-06-08 12:00:00
DEV00003,f33d3923b4a74f87ae4ae2b3f21a3dc4,Tablet,Windows,Chrome,2025-12-21 12:00:00,2026-06-08 12:00:00,1,96.46,True,2026-06-08 12:00:00
DEV00004,3a7b2c11902e4e7ea3303e37dd489a47,Tablet,Windows,Edge,2026-04-29 12:00:00,2026-06-08 12:00:00,1,76.57,True,2026-06-08 12:00:00
DEV00005,937f464c469040c6b4b917c430581601,Mobile,iOS,Firefox,2025-12-31 12:00:00,2026-06-08 12:00:00,1,95.16,True,2026-06-08 12:00:00
DEV00006,526a0df783324c3596e8696e44beca2a,Tablet,iOS,Edge,2025-08-12 12:00:00,2026-06-08 12:00:00,1,75.08,True,2026-06-08 12:00:00
DEV00007,590c26bed8ce4ff8984e979a1aa47846,Mobile,Windows,Edge,2025-07-23 12:00:00,2026-06-08 12:00:00,1,83.5,True,2026-06-08 12:00:00
DEV00008,3de348600cb84616b09892726f38e645,Laptop,iOS,Safari,2026-03-15 12:00:00,2026-06-08 12:00:00,1,93.24,True,2026-06-08 12:00:00
DEV00009,8ecc501adfeb48beb81a3d1f537b8b6d,Tablet,MacOS,Firefox,2025-12-21 12:00:00,2026-06-08 12:00:00,1,89.6,True,2026-06-08 12:00:00
DEV00010,f6efd99587214bb7a2c7d9f85d277663,Tablet,MacOS,Firefox,2026-03-21 12:00:00,2026-06-08 12:00:00,1,84.46,True,2026-06-08 12:00:00
DEV00011,7728f1cf74a74df383db3b8ee510aeba,Tablet,iOS,Safari,2025-11-24 12:00:00,2026-06-08 12:00:00,1,76.14,True,2026-06-08 12:00:00
DEV00012,34d09b66923e407a958a4c4c7ad5f54f,Laptop,Windows,Edge,2026-01-06 12:00:00,2026-06-08 12:00:00,1,88.26,True,2026-06-08 12:00:00
DEV00013,719ea0e2c2524055bae1b0f696af94b5,Laptop,iOS,Edge,2025-07-26 12:00:00,2026-06-08 12:00:00,1,75.41,True,2026-06-08 12:00:00
DEV00014,4b5108df77e14314a42e5bbc14e62a59,Mobile,Android,Safari,2026-01-11 12:00:00,2026-06-08 12:00:00,1,85.23,True,2026-06-08 12:00:00
DEV00015,f500a04ca1e643bdbc74d4624eef7889,Mobile,iOS,Edge,2025-10-10 12:00:00,2026-06-08 12:00:00,1,88.32,True,2026-06-08 12:00:00
DEV00016,cadb0db8060b49a4bfd8bf8d8ef25c5e,Tablet,Android,Chrome,2025-08-02 12:00:00,2026-06-08 12:00:00,1,85.99,True,2026-06-08 12:00:00
DEV00017,ddfd1d4c00354d658c7d31dda7dffeb1,Mobile,iOS,Safari,2026-01-18 12:00:00,2026-06-08 12:00:00,1,84.23,True,2026-06-08 12:00:00
DEV00018,ca52ff16b5c3495ca8ad03f21a101b80,Mobile,Windows,Chrome,2025-07-13 12:00:00,2026-06-08 12:00:00,1,85.19,True,2026-06-08 12:00:00
DEV00019,e4bcb1b7550a46e9a18a471667582c19,Laptop,MacOS,Safari,2026-03-23 12:00:00,2026-06-08 12:00:00,1,83.49,True,2026-06-08 12:00:00
DEV00020,459748070eac4380a2269f4d7fce8732,Mobile,Android,Chrome,2026-01-01 12:00:00,2026-06-08 12:00:00,1,94.7,True,2026-06-08 12:00:00
DEV00021,0d6cea994776479c8a166f5fa555b578,Tablet,iOS,Chrome,2025-09-08 12:00:00,2026-06-08 12:00:00,1,92.16,True,2026-06-08 12:00:00
DEV00022,3aaca65990f547f496e4141df261d179,Tablet,iOS,Chrome,2025-09-01 12:00:00,2026-06-08 12:00:00,1,95.34,True,2026-06-08 12:00:00
DEV00023,4f03482f0f2a4fccb65f8522e34e019f,Mobile,MacOS,Firefox,2026-03-19 12:00:00,2026-06-08 12:00:00,1,77.21,True,2026-06-08 12:00:00
DEV00024,1b46d43807f44311b8d73f8983460ba3,Tablet,iOS,Firefox,2026-05-09 12:00:00,2026-06-08 12:00:00,1,85.63,True,2026-06-08 12:00:00
DEV00025,437266af28ed4cc5adc1d4c34b3bdde3,Laptop,Windows,Edge,2025-07-29 12:00:00,2026-06-08 12:00:00,1,92.33,True,2026-06-08 12:00:00
DEV00026,c8684830d3dc42cdab4038574597abb9,Mobile,Android,Chrome,2025-12-20 12:00:00,2026-06-08 12:00:00,1,79.79,True,2026-06-08 12:00:00
DEV00027,058e90aee7ad4f95bad254bc571e53fe,Mobile,iOS,Chrome,2026-02-07 12:00:00,2026-06-08 12:00:00,1,79.88,True,2026-06-08 12:00:00
DEV00028,6ba044274de44ffaa4836fb390c336ac,Mobile,iOS,Safari,2025-12-09 12:00:00,2026-06-08 12:00:00,1,86.48,True,2026-06-08 12:00:00
DEV00029,62d0c7e3e5634efdb1d2f8695c6c7a63,Tablet,MacOS,Safari,2025-06-27 12:00:00,2026-06-08 12:00:00,1,78.35,True,2026-06-08 12:00:00
DEV00030,212b4485e18b41f5baa2e62cfce37613,Mobile,iOS,Firefox,2025-06-22 12:00:00,2026-06-08 12:00:00,1,93.84,True,2026-06-08 12:00:00
DEV00031,31e956792c06480fb23c1e0092622cb4,Laptop,MacOS,Safari,2026-04-07 12:00:00,2026-06-08 12:00:00,1,95.76,True,2026-06-08 12:00:00
DEV00032,d014cb8f708f4d5ea6ce8cf07f09cb60,Mobile,MacOS,Edge,2026-05-06 12:00:00,2026-06-08 12:00:00,1,79.27,True,2026-06-08 12:00:00
DEV00033,cbcc96e01b0944cfa2f95f266b571417,Mobile,iOS,Edge,2026-03-15 12:00:00,2026-06-08 12:00:00,1,77.11,True,2026-06-08 12:00:00
DEV00034,8e2b8df4ecf94ea8a78fea270b5a90c3,Mobile,iOS,Chrome,2026-02-20 12:00:00,2026-06-08 12:00:00,1,85.33,True,2026-06-08 12:00:00
DEV00035,824dd05d1cc74619b881bada0a1b6be6,Laptop,iOS,Safari,2025-12-24 12:00:00,2026-06-08 12:00:00,1,92.77,True,2026-06-08 12:00:00
DEV00036,98df36313a5b4bdf963be97630d05b21,Tablet,Windows,Edge,2026-02-18 12:00:00,2026-06-08 12:00:00,1,95.64,True,2026-06-08 12:00:00
DEV00037,e4836a656d9343eb949a8d31b80feda6,Tablet,iOS,Edge,2025-10-04 12:00:00,2026-06-08 12:00:00,1,79.29,True,2026-06-08 12:00:00
DEV00038,8fa62e43a98a40a5bebdc035e7da93fc,Laptop,Windows,Firefox,2025-12-27 12:00:00,2026-06-08 12:00:00,1,90.1,True,2026-06-08 12:00:00
DEV00039,2133c3b5a2cd430dae8c01dc90ad0af3,Tablet,Android,Safari,2025-10-14 12:00:00,2026-06-08 12:00:00,1,82.36,True,2026-06-08 12:00:00
DEV00040,10b4d17ab5724e03b20240ef9b06b5a1,Tablet,MacOS,Chrome,2025-07-16 12:00:00,2026-06-08 12:00:00,1,77.87,True,2026-06-08 12:00:00
DEV00041,b4ef2f34ea2c494fbae17423397f7174,Tablet,iOS,Chrome,2026-01-12 12:00:00,2026-06-08 12:00:00,1,93.35,True,2026-06-08 12:00:00
DEV00042,05d4ee7ddd664dd88f9e551177e89be6,Tablet,Android,Edge,2025-10-19 12:00:00,2026-06-08 12:00:00,1,97.64,True,2026-06-08 12:00:00
DEV00043,5b2b05f6741c454a901bf84c133af425,Tablet,iOS,Chrome,2025-08-17 12:00:00,2026-06-08 12:00:00,1,79.48,True,2026-06-08 12:00:00
DEV00044,4cd0e1578cae4c54948aade29a33ab7d,Mobile,iOS,Safari,2026-04-14 12:00:00,2026-06-08 12:00:00,1,87.66,True,2026-06-08 12:00:00
DEV00045,c3356b9f159a4cf7bb9ef1247e747031,Tablet,Android,Safari,2025-08-07 12:00:00,2026-06-08 12:00:00,1,88.75,True,2026-06-08 12:00:00
DEV00046,99e489b7909e433d8ca5efa2db5bb7b4,Laptop,Android,Firefox,2025-12-27 12:00:00,2026-06-08 12:00:00,1,83.27,True,2026-06-08 12:00:00
DEV00047,bde86077a2e14156893dd1c3a4678175,Mobile,iOS,Chrome,2025-10-03 12:00:00,2026-06-08 12:00:00,1,87.21,True,2026-06-08 12:00:00
DEV00048,bf5877ad09164302b4c1b905c03a04ac,Mobile,iOS,Safari,2025-06-18 12:00:00,2026-06-08 12:00:00,1,77.23,True,2026-06-08 12:00:00
DEV00049,4d0c1ac1187e43ba8aaa3a2770802e87,Mobile,MacOS,Chrome,2025-10-05 12:00:00,2026-06-08 12:00:00,1,92.95,True,2026-06-08 12:00:00
DEV00050,9a1d0802153b42b09579e5f183f1c021,Tablet,Android,Firefox,2025-09-16 12:00:00,2026-06-08 12:00:00,1,79.1,True,2026-06-08 12:00:00
DEV00051,aa788a5271e04dcaa4a90769820630ac,Laptop,Windows,Chrome,2026-04-23 12:00:00,2026-06-08 12:00:00,1,94.06,True,2026-06-08 12:00:00
DEV00052,4c87a67f21964bcbb32b98da87efcaca,Mobile,Android,Chrome,2026-03-28 12:00:00,2026-06-08 12:00:00,1,83.03,True,2026-06-08 12:00:00
DEV00053,fba9b2c7deeb4859861b481e30c9920e,Tablet,Android,Chrome,2026-02-01 12:00:00,2026-06-08 12:00:00,1,86.97,True,2026-06-08 12:00:00
DEV00054,a1af702615c0453cbd395eb9f095442f,Mobile,MacOS,Firefox,2026-04-10 12:00:00,2026-06-08 12:00:00,1,94.61,True,2026-06-08 12:00:00
DEV00055,9f7dffd598a34298a4efbfdc31545ead,Tablet,Android,Safari,2025-11-10 12:00:00,2026-06-08 12:00:00,1,82.79,True,2026-06-08 12:00:00
DEV00056,d659d67bb62c49cbbfc03cd1e551a570,Tablet,Android,Firefox,2025-12-11 12:00:00,2026-06-08 12:00:00,1,81.49,True,2026-06-08 12:00:00
