customer_beneficiary_id,customer_id,beneficiary_id,first_transaction_date,last_transaction_date,relationship_risk_score
CBEN_dbeda62f6448401ab9cf1175eef2f273,CUST_4ac2f4574abc42e09e731bb3eed4a13d,BENE_149cafb09a764332849dcfec0924fb0e,2025-06-07 22:06:25.216739,2026-05-25 22:06:25.216739,41.64
CBEN_f7d7e0eb325d4c63babc10b6ae22efda,CUST_05b29136c6284525bb97ed6fbb29de98,BENE_e2537a4aff394110a3ed82957dce7766,2026-01-26 22:06:25.216739,2026-06-04 22:06:25.216739,13.77
CBEN_1524a90ac89144d7be211984a76f3622,CUST_f398dbd4374a40d4b861ed770add3390,BENE_7ddbabba13a548208ea84084ed8dd542,2026-02-02 22:06:25.216739,2026-05-05 22:06:25.216739,22.04
CBEN_111e9d4057fa43a3a24a8ad4133b7cee,CUST_0a3f02ec02be4f9ead9afd7dbe24aea4,BENE_0ebb0b7da0134f119e891997d00eb4a2,2025-07-19 22:06:25.216739,2026-05-02 22:06:25.216739,30.12
CBEN_0fb889f3427a43ff95cc17b8788bf29d,CUST_d0c21c2bd64d49a4a1d1862f632745bd,BENE_fa4f06b2401946628284f615cc49d0ce,2025-06-17 22:06:25.216739,2026-04-13 22:06:25.216739,28.25
CBEN_70ec0eb539204f6d9c25d011d1fd5895,CUST_7e45e5adf14a40fd92c4f2a24d322f45,BENE_5d56724728234df5898569dc7c2d0d7b,2026-01-31 22:06:25.216739,2026-05-07 22:06:25.216739,28.81
CBEN_dcdea3d46704429f8c526db827ae242d,CUST_f34b4e44015f4ddd8a6634162ce63141,BENE_c75316a00f254317a25739ef23121bab,2025-12-11 22:06:25.216739,2026-06-08 22:06:25.216739,39.04
CBEN_6d0fb7f2ce3649ba8ba0c0425a1ebb65,CUST_8ac0863f209f4728929fea12c9e680b3,BENE_d206b9f6955742279e93438ef008993a,2026-01-05 22:06:25.216739,2026-05-04 22:06:25.216739,14.34
CBEN_01115ec8580741a6bbaaa826c107e628,CUST_21f28b598c6d49c3b29ef258e1c6663c,BENE_d7e75fff3a66418eba8a293b1a74f590,2025-10-08 22:06:25.216739,2026-05-30 22:06:25.216739,3.74
CBEN_5ec6614ad3e24fe398054adc547b2453,CUST_aa0c12115d1c401ea46aaa14c2f9e1bf,BENE_7832685d5eca433883b7628679db6adf,2025-10-09 22:06:25.216739,2026-06-05 22:06:25.216739,16.02
