customer_device_id,customer_id,device_id,first_seen,last_seen
CDEV_6ceb60531575419684058e3c5328d1d5,CUST_a888e26399684841a460782dcfdf4354,DEV_d378ec268e3c4335a53e683fed6eac37,2026-05-04 22:06:25.193218,2026-05-24 22:06:25.193218
CDEV_e83eb10bb46b48e59da5c3eabe95075e,CUST_03841a993f1a4828b6c3f9f3b97ea72d,DEV_18037eba53804c81a36ba93fba5bd437,2026-04-17 22:06:25.193218,2026-05-19 22:06:25.193218
CDEV_a96eb719c1ef40cb88f270401b931c60,CUST_0ea42d86f0514114a775b36fe81beb55,DEV_8e5495d1fd9c4e279ba9bd60b9f3e1a6,2025-09-05 22:06:25.193218,2026-05-22 22:06:25.193218
CDEV_1b765e29d6bc47ff8443fd6bc60937ca,CUST_d289951b0afa44d39b33d0a1a58334f1,DEV_73dea8d83541411795c39fc308a17f71,2025-10-03 22:06:25.193218,2026-05-21 22:06:25.193218
CDEV_5918b514fe3a4c8ea1d3092e53b024e6,CUST_2127d4b3c58b47769e19a7b88bfc077d,DEV_c68989df46a94cdc82a9bc0e8516d4f1,2025-11-27 22:06:25.193218,2026-05-25 22:06:25.193218
CDEV_28b62289feec493e90261ba8b104bde2,CUST_b49d7fb91e7749f9a9d77f3422d3f92e,DEV_01e51dfede7a404088dacb54a2ab2565,2025-10-30 22:06:25.193218,2026-06-07 22:06:25.193218
CDEV_fc343b792d8e4f1ab915afcf715b3629,CUST_ffc00fd807934aff8bb2f532bfd73963,DEV_6b9a79c0d90c4f8c82cc0e3855a062ad,2026-03-14 22:06:25.193218,2026-05-22 22:06:25.193218
CDEV_098655b771ff43feb6183c0a9aa91331,CUST_db677379fcf845e0a1c0dee8e91c0b59,DEV_7325c6954c3c476a8b2c7e6630649d34,2025-08-14 22:06:25.193218,2026-06-01 22:06:25.193218
CDEV_51a8e23aaada4783bd9770097280b5cc,CUST_c3a4a2146b8c476ab2c98c7dc27b1de8,DEV_58f50b67c5c045a3a57e77a697bbc42f,2026-05-03 22:06:25.193218,2026-05-31 22:06:25.193218
CDEV_41ab5540a5564a15b93bb88cab083d13,CUST_7dcf2f5449744a7c9f9b0e5387c9c954,DEV_cd24a4e986a94e32bf9811eed77c0c31,2026-03-17 22:06:25.193218,2026-05-17 22:06:25.193218
CDEV_ec3099d539114d14b2b5b38bad9bd8cc,CUST_52b2d7072f50419caa8e83a8c65cbe94,DEV_78c66a99b6c44fd6a23e1b2e14d7044c,2025-11-26 22:06:25.193218,2026-05-19 22:06:25.193218
CDEV_e7f3f3088d924e4cbb19fd2132e92bf2,CUST_269a2e17e1f44a868bf9517b2a25af50,DEV_0deeb4639799482caef58b45828ad3c3,2025-12-19 22:06:25.193218,2026-05-19 22:06:25.193218
CDEV_1236775261764c4a90abf41883952961,CUST_7be15b3e8d4f49c2bbfe385def52efdd,DEV_6accb475f9f64afc8a765fe10ef28503,2025-12-16 22:06:25.193218,2026-05-24 22:06:25.193218
CDEV_e5181a71f61e4218aef77239099528a1,CUST_463f504ffc0d4636823c222038a89275,DEV_867038b481074eecae1b262caf024e6b,2025-12-05 22:06:25.193218,2026-05-13 22:06:25.193218
CDEV_f2f8e8d71bbb48269b7cdbf8fe6f762b,CUST_b6c1dabd9cb84c339325ba4258d43ae5,DEV_180e6f432a0240b5afeef55ee0a1adee,2025-08-28 22:06:25.193218,2026-06-01 22:06:25.193218
CDEV_838ffa50c0da40ad978e7f930ce8a666,CUST_5b75c7be5a4344b5a982c8c900f54ff9,DEV_cd3ee91e6d974ed39477d67f07c6bac5,2026-01-09 22:06:25.193218,2026-05-31 22:06:25.193218
CDEV_91e242549c9140288917de4e4aad898f,CUST_bcd06d34e4a54c8893205bd7d324c31d,DEV_e3d054a9172848e38fbe17d28e784bda,2026-01-16 22:06:25.193218,2026-05-28 22:06:25.193218
CDEV_bd23061b47844526b6aa449428d01d61,CUST_6600535dee3b4659902379b926321056,DEV_e3997f9776ea4fdd88949e7e65c2f185,2025-09-12 22:06:25.193218,2026-06-01 22:06:25.193218
CDEV_06fa83204f9342c39cc19ec085affb85,CUST_8b5f9d55df184af897539047740065ed,DEV_6fabeb6eda104cc889c877f1ec9cb309,2025-10-01 22:06:25.193218,2026-05-15 22:06:25.193218
CDEV_e386e38a003949e99f342928c2505172,CUST_bf030187460948cf97ed4b2d14c20436,DEV_5593063ede1f4b23bc75e244bd48273f,2025-09-08 22:06:25.193218,2026-06-07 22:06:25.193218
CDEV_30dbd2056a0343b9b7f4920fec8e46c6,CUST_7d913e2485234c459d442a7632f95e18,DEV_9ddf81221a0347fd9747a22b208df606,2026-03-23 22:06:25.193218,2026-05-18 22:06:25.193218
CDEV_4e5b86d18e2340c69c88e52ee0b22d5c,CUST_283d23ac03bb480f84e8ea5f63e2b7d1,DEV_4f054dd35d3a4118bfe1aed582a050a8,2025-10-04 22:06:25.193218,2026-05-23 22:06:25.193218
CDEV_ba5a39a99dc94f2bb4431e2e8004d643,CUST_a872fdf34af547a1a3bf4487f24ce334,DEV_1e8674e3ea49461abc9ba5684da5fec8,2025-11-07 22:06:25.193218,2026-06-04 22:06:25.193218
CDEV_bbeb24a29b05458bb395d150c20d956f,CUST_b4285014747a4cdb992d862659206d47,DEV_df23f07f1e5c4de5933eea02c77877c5,2025-11-06 22:06:25.193218,2026-05-13 22:06:25.193218
CDEV_49fa5c3494c2429aaf7293a71d0dcdde,CUST_2d1d6bbef7054a59b87c14dc53d10d98,DEV_b44ebda4dcc1418bb09fed99cc2e9472,2026-01-07 22:06:25.193218,2026-06-06 22:06:25.193218
CDEV_c6550d1b8e574872960ad40ced79eb17,CUST_3029627449d744098b5461a473a31fe7,DEV_18b01d76d22a47fbb73648805414a29f,2025-09-05 22:06:25.193218,2026-05-14 22:06:25.193218
CDEV_7302d61942634aadab6a045321219a2c,CUST_6ff3ecb80e8a41d7a2a4cc967be98b16,DEV_bc7aef6a77a34a3ba3644db93139a32a,2025-11-28 22:06:25.193218,2026-06-07 22:06:25.193218
