merchant_id,merchant_name,merchant_category,merchant_country,merchant_risk_rating,fraud_transaction_count,total_transaction_count,merchant_status,created_at
MERCH_b5b117865ae548359532d7e14322797a,Rios and Sons,Shell Utility,Guinea,Medium,2,1611,Active,2023-12-10 22:06:25.163507
MERCH_506c7f40bcf9498c88f273f2e5b9563c,"Stevens, Davis and Lawrence",Crypto Exchange,Faroe Islands,High,27,3228,Under Review,2025-02-01 22:06:25.163507
MERCH_3fe0150f07384bcb9f24247a1b5a093d,Robinson-Hanson,Crypto Exchange,Cote d'Ivoire,Low,1,4124,Active,2024-12-17 22:06:25.164507
MERCH_67452b6c3c864a51b858b8e3032f35c6,Miles Ltd,Gaming,Norway,Low,0,2948,Active,2025-05-20 22:06:25.164507
MERCH_eb161a3115cf42b3ae4361555f5973b8,Reyes-Horton,Crypto Exchange,Finland,Low,2,689,Active,2024-10-28 22:06:25.164507
MERCH_67005e18b2444e1da81741f1b4d46df9,"French, Cole and Palmer",Retail,Maldives,Medium,0,1135,Active,2023-11-30 22:06:25.164507
MERCH_93c2f68e127943fba1bfd183ddb1dc03,"Williams, Clark and Martin",Retail,Guadeloupe,Low,2,3307,Active,2025-07-16 22:06:25.164507
MERCH_621bf79bf2c544ba8d7b3fe51ab37eb5,"Wallace, Herrera and Mcdonald",Crypto Exchange,Malta,Low,2,2625,Active,2024-03-18 22:06:25.164507
MERCH_273f5ab0060e4dea92dd3b9b6fb38f4c,Perry-Lynn,Shell Utility,Latvia,Medium,1,4509,Active,2024-05-13 22:06:25.165506
MERCH_ddfe25cc376843fa8a4b45e1894d0488,"Bell, Young and Smith",Electronics,Morocco,Medium,1,4203,Active,2023-11-28 22:06:25.165506
MERCH_52be46cf06694c869d73139ac0cd6c01,Burton LLC,Retail,Wallis and Futuna,Low,0,4182,Active,2024-07-07 22:06:25.165506
MERCH_7c612338f89d4eb6b6cd7578e5998937,"Lewis, Christensen and Rodriguez",Crypto Exchange,Haiti,Low,1,4677,Active,2024-12-19 22:06:25.165506
MERCH_6449e6b2e792496ba0bbcd2b66d45e88,"Figueroa, Johnson and Wright",Retail,Qatar,Low,1,1838,Active,2024-05-18 22:06:25.165506
MERCH_21ff1036b4484aa8b3991202037ddb7f,"Boone, Thomas and Vazquez",Shell Utility,Armenia,Medium,0,1626,Active,2024-01-30 22:06:25.165506
MERCH_6fa2f2957d3441bfa13884d95c88b072,"Turner, Hinton and Dorsey",Retail,Serbia,Low,2,4982,Active,2024-12-15 22:06:25.166507
MERCH_fc46acc1590c4fa8991f522274324fb7,"Armstrong, Maynard and Woods",Crypto Exchange,Estonia,Low,0,1791,Active,2025-06-10 22:06:25.166507
MERCH_c299b78b69d9455db2c6f068d0d7a362,Shepherd-White,Crypto Exchange,South Africa,Low,1,2101,Active,2023-03-27 22:06:25.166507
MERCH_4dc3054339ba41cabf6e0a8b8666fc5e,Garcia-Howard,Retail,Congo,Low,2,823,Active,2024-08-06 22:06:25.166507
MERCH_88786f3a3da647c2a1d76c96f11be886,"Webb, Goodwin and Crawford",Crypto Exchange,Nicaragua,High,20,3786,Under Review,2024-09-25 22:06:25.166507
MERCH_fbba4f0c123649cfbf075fbce1519f8e,"Thompson, Gray and Jenkins",Electronics,Martinique,Medium,1,1136,Active,2023-08-08 22:06:25.167506
MERCH_afa0dad93d0240f1ac09e3f89951db07,Jones Inc,Retail,Uzbekistan,Medium,1,4929,Active,2024-08-18 22:06:25.167506
MERCH_4518934b3e6a436cb0bb0906ade3c31c,Pham Inc,Electronics,Slovakia (Slovak Republic),Medium,2,3822,Active,2025-01-26 22:06:25.167506
MERCH_aa29fee7d99e41838a1fa10597b49d5b,Jordan PLC,Retail,Morocco,Low,1,958,Active,2024-05-12 22:06:25.167506
MERCH_828832f237b04a3a840b006224627d42,Clark and Sons,Shell Utility,Indonesia,Low,1,2939,Active,2024-02-04 22:06:25.167506
MERCH_1e85a69239454183b94bb6c7b32b417e,Briggs-Taylor,Gaming,Tuvalu,Low,2,1011,Active,2025-04-08 22:06:25.167506
MERCH_94d16c5b24ab4d39bacc2fa9aae51143,"Santos, Singleton and Jones",Crypto Exchange,Singapore,Medium,2,3833,Active,2024-03-20 22:06:25.167506
MERCH_7fc59ec61d5545fca8f65bc6ca927712,Marks Group,Electronics,Saudi Arabia,Medium,1,3908,Active,2025-06-02 22:06:25.167506
MERCH_7c50a220d6694ad1a7b1a0084ac26631,Moore Inc,Crypto Exchange,Kazakhstan,Low,1,3769,Active,2023-07-20 22:06:25.168506
MERCH_6fdc4b74d35b45429aed998ed2a0d802,Ward-Wagner,Electronics,Northern Mariana Islands,High,19,1755,Under Review,2023-05-27 22:06:25.168506
MERCH_be1cc95815a34d1db05ccd4a4e5adebb,Ward-Harris,Electronics,Cocos (Keeling) Islands,Medium,1,1115,Active,2024-04-06 22:06:25.168506
MERCH_3e1ec320361f4d2f8a0602448d51d35a,Myers Ltd,Electronics,South Georgia and the South Sandwich Islands,Low,0,1749,Active,2023-10-02 22:06:25.168506
MERCH_124390c2ce314ba7a5fce1249e8d01a9,Wright Ltd,Retail,Hong Kong,Medium,2,3367,Active,2024-12-21 22:06:25.168506
MERCH_e943004c96ed469b842e0af102544212,Salazar Group,Shell Utility,North Macedonia,Low,1,4271,Active,2023-10-11 22:06:25.168506
MERCH_001759cf940f4c2aa7259786b83654be,"Reed, Dixon and Underwood",Gaming,Netherlands,Low,0,3394,Active,2023-11-01 22:06:25.168506
MERCH_840cbb3a8165413b8bd0276357527e90,Mcbride and Sons,Gaming,Ukraine,Medium,2,4385,Active,2023-06-03 22:06:25.168506
