behavior_id,customer_id,device_id,device_fingerprint,ip_address,current_country,current_city,previous_country,previous_city,location_change_flag,login_timestamp,logout_timestamp,session_duration_minutes,transactions_last_1h,transactions_last_24h,avg_session_duration,typing_speed_score,mouse_movement_score,device_risk_score,behavior_risk_score,account_takeover_suspected,created_at
BEH-300000,CUST-11711,DEV-7A600554A331,fp-a9cc633a2b5f4ede,207.66.235.41,China,Metropolis,United States,Suburban,TRUE,2026-01-01 00:00:00,2026-01-01 00:12:00,12,1,3,14.5,20.76,75.2,80.87,81.12,TRUE,2026-01-01 00:00:00
BEH-300001,CUST-10161,DEV-0AE2BA4BADED,fp-7569865a2d5844fd,94.207.138.248,China,Metropolis,United States,Suburban,TRUE,2026-01-01 00:03:41,2026-01-01 00:15:41,12,1,3,14.5,19.01,75.2,84.68,94.79,TRUE,2026-01-01 00:03:41
BEH-300002,CUST-10853,DEV-7511C2528262,fp-58468b4e3b024861,29.46.234.57,China,Metropolis,United States,Suburban,TRUE,2026-01-01 00:06:35,2026-01-01 00:18:35,12,1,3,14.5,28.33,75.2,73.27,93.92,TRUE,2026-01-01 00:06:35
BEH-300003,CUST-10482,DEV-645CFACFA90F,fp-0b392760a3b94b3e,15.231.34.249,China,Metropolis,United States,Suburban,TRUE,2026-01-01 00:06:13,2026-01-01 00:18:13,12,1,3,14.5,28.52,75.2,83.99,97.22,TRUE,2026-01-01 00:06:13
BEH-300004,CUST-11825,DEV-CBE41E8ACB06,fp-1716bf8a9eb34d9c,190.219.196.226,China,Metropolis,United States,Suburban,TRUE,2026-01-01 00:08:09,2026-01-01 00:20:09,12,1,3,14.5,28.19,75.2,94.49,88.73,TRUE,2026-01-01 00:08:09
BEH-300005,CUST-10806,DEV-6821965E63E8,fp-075c7e8adb5e4fa8,94.223.26.182,China,Metropolis,United States,Suburban,TRUE,2026-01-01 00:18:21,2026-01-01 00:30:21,12,1,3,14.5,27.01,75.2,80.57,96.27,TRUE,2026-01-01 00:18:21
BEH-300006,CUST-11346,DEV-60954B6AA234,fp-aa43ce556136402f,161.95.233.6,China,Metropolis,United States,Suburban,TRUE,2026-01-01 00:13:34,2026-01-01 00:25:34,12,1,3,14.5,16.71,75.2,70.63,80.35,TRUE,2026-01-01 00:13:34
BEH-300007,CUST-11949,DEV-91E15BF85070,fp-beb452a16736471f,144.116.10.186,China,Metropolis,United States,Suburban,TRUE,2026-01-01 00:19:56,2026-01-01 00:31:56,12,1,3,14.5,19.39,75.2,94.88,80.35,TRUE,2026-01-01 00:19:56
BEH-300008,CUST-11085,DEV-B41E5FDF9593,fp-c3308c3ec27c4562,45.25.189.200,China,Metropolis,United States,Suburban,TRUE,2026-01-01 00:23:29,2026-01-01 00:35:29,12,1,3,14.5,14.69,75.2,86.95,85.31,TRUE,2026-01-01 00:23:29
BEH-300009,CUST-10115,DEV-583ED8EA5D98,fp-a4d431c47e4643f3,46.133.6.105,China,Metropolis,United States,Suburban,TRUE,2026-01-01 00:34:02,2026-01-01 00:46:02,12,1,3,14.5,10.7,75.2,85.12,89.36,TRUE,2026-01-01 00:34:02
BEH-300010,CUST-11137,DEV-4FDB75F0D5BC,fp-ef2ec8526ddd4ff1,211.135.28.93,China,Metropolis,United States,Suburban,TRUE,2026-01-01 00:33:36,2026-01-01 00:45:36,12,1,3,14.5,23.03,75.2,73.85,84.77,TRUE,2026-01-01 00:33:36
BEH-300011,CUST-11074,DEV-1754F93BF787,fp-858ca1a0f1124800,94.162.11.223,China,Metropolis,United States,Suburban,TRUE,2026-01-01 00:37:54,2026-01-01 00:49:54,12,1,3,14.5,25.28,75.2,85.75,86.72,TRUE,2026-01-01 00:37:54
BEH-300012,CUST-11838,DEV-183D43E34E9E,fp-d153898ed0ff4f5b,194.191.114.46,China,Metropolis,United States,Suburban,TRUE,2026-01-01 00:26:00,2026-01-01 00:38:00,12,1,3,14.5,23.11,75.2,89.12,84.02,TRUE,2026-01-01 00:26:00
BEH-300013,CUST-11647,DEV-8ED0B73F797A,fp-214220a1f5ee46c9,21.196.192.147,China,Metropolis,United States,Suburban,TRUE,2026-01-01 00:46:18,2026-01-01 00:58:18,12,1,3,14.5,16.77,75.2,85.04,87.24,TRUE,2026-01-01 00:46:18
BEH-300014,CUST-10528,DEV-59D6570F711F,fp-72089b553a6144d7,139.98.38.27,China,Metropolis,United States,Suburban,TRUE,2026-01-01 00:37:57,2026-01-01 00:49:57,12,1,3,14.5,17.4,75.2,92.42,98.22,TRUE,2026-01-01 00:37:57
