device_id,device_fingerprint,device_type,operating_system,browser,first_seen,last_seen,associated_customers_count,device_risk_score,is_blacklisted,created_at
DEV-3AC055EF42E2,fp-74fe9d85a6fd48f1,Desktop,Android,Firefox,2024-06-01 00:00:00,2026-05-30 00:00:00,1,93.59,TRUE,2024-06-01 00:00:00
DEV-0AE2BA4BADED,fp-0d246f68a1fd4566,Mobile,MacOS,Chrome,2024-06-01 00:00:00,2026-05-30 00:00:00,1,81.88,TRUE,2024-06-01 00:00:00
DEV-27E00852BAF7,fp-a5efde3e680a4119,Mobile,Windows,Chrome,2024-06-01 00:00:00,2026-05-30 00:00:00,1,91.41,TRUE,2024-06-01 00:00:00
DEV-8C2C0E0607D2,fp-d1b4755397934153,Tablet,iOS,Chrome,2024-06-01 00:00:00,2026-05-30 00:00:00,1,93.23,TRUE,2024-06-01 00:00:00
DEV-2E9FC32639D1,fp-ace30089cc014c22,Desktop,Android,Safari,2024-06-01 00:00:00,2026-05-30 00:00:00,1,77.63,TRUE,2024-06-01 00:00:00
DEV-EFB0CBD8D8B0,fp-79e36432c5074887,Tablet,Windows,Safari,2024-06-01 00:00:00,2026-05-30 00:00:00,1,92.49,TRUE,2024-06-01 00:00:00
DEV-010913ED1DA6,fp-b126878de381489b,Mobile,iOS,Safari,2024-06-01 00:00:00,2026-05-30 00:00:00,1,84.01,TRUE,2024-06-01 00:00:00
DEV-C6046E0581B2,fp-8befe26823ec4389,Mobile,Windows,Chrome,2024-06-01 00:00:00,2026-05-30 00:00:00,1,93.42,TRUE,2024-06-01 00:00:00
DEV-1C58537BC0C9,fp-15b247603b0049ac,Mobile,MacOS,Edge,2024-06-01 00:00:00,2026-05-30 00:00:00,1,96.44,TRUE,2024-06-01 00:00:00
DEV-8C65F2265298,fp-0d343a8f61b34ff2,Mobile,Android,Edge,2024-06-01 00:00:00,2026-05-30 00:00:00,1,81.25,TRUE,2024-06-01 00:00:00
DEV-33E3120BB27B,fp-aae23e37e00f4dc6,Mobile,Windows,Firefox,2024-06-01 00:00:00,2026-05-30 00:00:00,1,96.27,TRUE,2024-06-01 00:00:00
DEV-AB1A0F40A2C9,fp-78e55c75da6b4249,Desktop,Windows,Firefox,2024-06-01 00:00:00,2026-05-30 00:00:00,1,85.97,TRUE,2024-06-01 00:00:00
